time,EAR
09:00:336130,0
09:00:336130,0
09:01:530442,0
09:01:530442,0
09:01:530442,0
09:01:530442,0
09:01:530442,0
09:01:530442,0
09:01:530442,0
09:01:530442,0
09:01:530442,0
09:01:530442,0
09:02:712246,0
09:02:712246,0
09:02:712246,0
09:02:712246,1
09:02:712246,1
09:03:917099,1
09:03:917099,1
09:03:917099,0
09:03:917099,0
09:03:917099,1
09:03:917099,0
09:03:917099,1
09:05:197974,1
09:05:197974,1
09:05:197974,1
09:05:197974,0
09:05:197974,0
09:05:197974,0
09:05:197974,0
09:05:197974,0
09:05:197974,1
09:06:396276,1
09:06:396276,1
09:06:396276,1
09:06:396276,1
09:06:396276,1
09:06:396276,1
09:06:396276,0
09:06:396276,1
09:06:396276,1
09:06:396276,1
09:07:596066,0
09:07:596066,1
09:07:596066,0
09:07:596066,1
09:07:596066,1
09:07:596066,1
09:07:596066,1
09:07:596066,1
09:07:596066,0
09:08:813899,0
09:08:813899,0
09:08:813899,1
09:08:813899,1
09:08:813899,1
09:08:813899,0
09:08:813899,1
03:38:175970,1
03:38:175970,0
03:38:175970,1
03:38:175970,0
03:38:175970,0
03:39:487206,1
03:39:487206,1
03:39:487206,1
03:39:487206,0
03:39:487206,0
03:39:487206,0
03:39:487206,0
03:39:487206,0
03:39:487206,1
03:39:487206,1
03:40:749481,1
03:40:749481,1
03:40:749481,0
03:40:749481,0
03:40:749481,1
03:40:749481,1
03:40:749481,1
03:40:749481,1
03:40:749481,1
03:40:749481,1
03:42:169178,1
03:42:169178,1
03:42:169178,1
03:42:169178,1
03:42:169178,1
03:42:169178,1
03:42:169178,0
03:42:169178,0
03:42:169178,1
03:42:169178,1
03:43:784585,0
03:43:784585,0
03:43:784585,1
03:43:784585,0
03:43:784585,0
03:43:784585,0
03:43:784585,0
03:43:784585,0
03:43:784585,0
03:43:784585,0
03:45:485669,0
03:45:485669,0
03:45:485669,0
03:45:485669,0
03:45:485669,0
03:45:485669,1
03:45:485669,1
03:45:485669,1
03:45:485669,1
03:47:207882,1
03:47:207882,1
03:47:207882,1
03:47:207882,1
03:47:207882,0
03:47:207882,1
03:47:207882,0
03:48:902556,0
03:48:902556,1
03:48:902556,0
03:48:902556,0
03:48:902556,0
03:48:902556,1
03:48:902556,1
03:48:902556,1
03:48:902556,1
03:48:902556,1
03:50:611967,1
03:50:611967,1
03:50:611967,1
03:50:611967,1
03:50:611967,1
03:50:611967,1
03:50:611967,1
03:50:611967,1
03:50:611967,1
03:50:611967,1
03:52:331548,1
03:52:331548,0
03:52:331548,1
03:52:331548,1
03:52:331548,1
03:52:331548,1
03:52:331548,1
03:52:331548,1
03:52:331548,1
03:52:331548,1
03:54:055184,1
03:54:055184,1
03:54:055184,1
03:55:789563,1
03:55:789563,0
03:55:789563,1
03:55:789563,1
03:55:789563,1
03:55:789563,1
03:55:789563,1
03:55:789563,1
03:55:789563,1
03:57:547788,1
03:57:547788,1
03:57:547788,1
03:57:547788,0
03:57:547788,0
03:57:547788,0
03:57:547788,0
03:57:547788,0
03:57:547788,0
03:57:547788,0
03:59:747223,0
03:59:747223,1
03:59:747223,0
03:59:747223,1
03:59:747223,1
03:59:747223,0
03:59:747223,0
03:59:747223,0
03:59:747223,1
04:01:385713,0
